type,name,latitude,longitude,city
small_airport,HIA Airport,32.5623056,-81.8576944,Statesboro
closed,Clarks Dream Strip,39.644199,-83.018204,Circleville
small_airport,East Field,41.581901550293,-92.4613037109375,Montezuma
small_airport,Flying Y Ranch Airport,44.7943000793457,-116.532997131348,Council
small_airport,Davis Field Ultralightport,37.9620018005,-87.7789001465,Mount Vernon
small_airport,Wix Airport,41.4023017883301,-87.8167037963867,Monee
small_airport,Heinzman Airport,40.1800003051758,-86.0124969482422,Arcadia
heliport,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,Alton
heliport,Valley Grain Heliport,39.8647003173828,-95.2640991210938,Highland
small_airport,Flying H Farms Airport,37.7916984558105,-87.5413970947266,Henderson
heliport,Damien Heliport,30.1996002197266,-91.1278991699219,Carville
heliport,Fmc Nr 1 Heliport,32.1590003967285,-91.7080001831055,Winnsboro
seaplane_base,Lakeside Marina Seaplane Base,44.3208999633789,-69.8895034790039,East Winthrop
small_airport,Hadley Airport,42.3931007385254,-72.552001953125,Hadley
heliport,Upper Chesapeake Medical Center Heliport,39.5224990844727,-76.3266983032227,Bel Air
small_airport,Maple Ridge Airport,44.0842018127441,-70.6272964477539,Harrison
heliport,Harold Miller Heliport,43.5508995056152,-83.8621978759766,Bay City
small_airport,Nauerth Land Ranch Airport,43.6251983642578,-95.2247009277344,Lakefield
closed,Cahoochie Airport,37.884499,-93.131599,Urbana
heliport,Vicksburg Medical Center Heliport,32.3188018798828,-90.8832015991211,Vicksburg
small_airport,Cascade Field,47.267327,-111.71748,Cascade
small_airport,Mc Donnell Airport,38.4925003052,-94.4124984741,Archie
small_airport,Utirik Airport,11.222,169.852005,Utirik Island
small_airport,Pilots Ridge Airport,34.1043014526367,-77.9041976928711,Carolina Beach
small_airport,Olafson Brothers Airport,48.6263999938965,-97.8290023803711,Edinburg
small_airport,Hyde Ranch Airport,41.5463981628418,-99.3311996459961,Comstock
heliport,Lorden Heliport,42.8153991699219,-71.124397277832,Milford
closed,At&T Heliport,40.668713,-74.410152,Berkeley Heights
small_airport,Llama Ranch Airport,40.584400177002,-115.297996520996,Ruby Valley
small_airport,Talmage Field,40.9584007263184,-72.716796875,Riverhead
small_airport,Gibbs Field,41.418399810791,-83.0174026489258,Fremont
heliport,"Cleveland Clinic, Marymount Hospital Heliport",41.420312,-81.599552,Garfield Heights
small_airport,Sahoma Lake Airport,36.0411987304687,-96.1613998413086,Sapulpa
small_airport,Powwatka Ridge Airport,45.8554000854492,-117.484001159668,Troy
